"","Peak","VolO2_integral","VolCO2_integral","Mean_CO2","Channel","Filename","Start_sample","End_sample","VO2","VCO2","VO2_mlhr","VCO2_mlhr"
"1",1,1.0801405536422,0.8148757866511,0.0603727186046512,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",6360,6961,0.0154305793377456,0.0113976007872783,0.925834760264739,0.6838560472367
"2",2,1.08578172357102,0.803026102000331,0.0593171774086379,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",11160,11761,0.015511167479586,0.0112170888322148,0.930670048775158,0.673025329932889
"3",3,1.16794583345654,0.761753269469409,0.0561188207641196,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",15960,16561,0.0166849404779506,0.0105371847627667,1.00109642867704,0.632231085766002
"4",4,1.05169117534206,0.845741638984691,0.0626079169435216,"Channel_2","Data_06-29-2025_001_DAY_LagDrift.txt",20760,21361,0.0150241596477437,0.0118855197052305,0.901449578864621,0.713131182313832
"5",1,0.834430524438631,0.645799306772915,0.0507255051495017,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",6960,7561,0.011920436063409,0.00908170849245158,0.71522616380454,0.544902509547095
"6",2,0.873406607793186,0.667420308162491,0.051886053820598,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",11760,12361,0.0124772372541884,0.00937353707642637,0.748634235251302,0.562412224585582
"7",3,1.07532949018059,0.653065954836165,0.0506232182724252,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",16560,17161,0.0153618498597228,0.00900785391700642,0.921710991583365,0.540471235020385
"8",4,0.753960655029005,0.638877359560865,0.0498582873754153,"Channel_3","Data_06-29-2025_001_DAY_LagDrift.txt",21360,21961,0.0107708665004144,0.0090405487422613,0.646251990024861,0.542432924535678
"9",1,0.956441463751162,0.740920052688125,0.0630762249169435,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",7560,8161,0.0136634494821595,0.0103772938921515,0.819806968929567,0.622637633529091
"10",2,0.887239701733051,0.621042279569338,0.0523464928571429,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",12360,12961,0.0126748528819007,0.00866197234279963,0.760491172914044,0.519718340567978
"11",3,1.14340704061942,0.677413456387512,0.0572739531561462,"Channel_4","Data_06-29-2025_001_DAY_LagDrift.txt",17160,17761,0.0163343862945632,0.00927289560424004,0.98006317767379,0.556373736254403
