Seconds	O2	CO2	BP	WVP	FlowRate	Temperature	Marker
0	20.8054	4.05E-02	98.95088	1.045797	54.1977	26.49181	-1
1	20.78899	3.65E-02	98.92088	1.046422	54.12895	26.49181	-1
2	20.80462	4.05E-02	98.95088	1.04611	53.12894	26.49962	-1
3	20.80149	4.01E-02	98.93589	1.045797	52.77893	26.50744	-1
4	20.80305	3.93E-02	98.92464	1.04736	52.44768	26.51369	-1
5	20.79446	0.0394538	98.97338	1.04986	51.91017	26.5215	-1
6	20.80852	4.04E-02	98.88338	1.052985	51.42266	26.51369	-1
7	20.81086	3.84E-02	98.90588	1.056422	50.94141	26.51837	-1
8	20.79524	3.87E-02	98.88338	1.059548	50.5039	26.51056	-1
9	20.78899	3.98E-02	98.92838	1.06361	50.01639	26.509	-1
10	20.79211	3.88E-02	98.87589	1.067673	49.57264	26.50275	-1
11	20.79211	3.93E-02	98.92838	1.072673	49.06638	26.509	-1
12	20.79602	0.0391413	99.00714	1.07861	48.59137	26.50744	-1
13	20.80305	4.26E-02	98.95839	1.085485	48.14136	26.51056	-1
14	20.83196	4.21E-02	98.97713	1.092048	47.70386	26.51213	-1
15	20.85383	4.30E-02	98.92088	1.097361	47.3351	26.51056	-1
16	20.86165	0.0427351	98.98464	1.104236	46.87259	26.51056	-1
17	20.88587	4.20E-02	98.89088	1.109548	46.44134	26.51213	-1
18	20.90305	0.0427351	98.92088	1.113298	45.95383	26.51213	-1
19	20.91555	3.96E-02	98.87963	1.117673	45.56633	26.509	-1
20	20.90618	4.13E-02	98.91713	1.121736	45.12257	26.50744	-1
21	20.92884	4.15E-02	98.87589	1.124861	44.67881	26.50119	-1
22	20.92727	4.04E-02	98.87963	1.129236	44.1913	26.49962	-1
23	20.93509	4.16E-02	98.86464	1.133299	43.81005	26.509	-1
24	20.9304	4.16E-02	98.95839	1.137361	43.47254	26.51056	-1
25	20.96321	4.55E-02	98.95464	1.142986	43.02879	26.51681	-1
26	20.96008	4.59E-02	98.94339	1.150486	42.63503	26.51213	-1
27	20.96868	0.0457039	98.93964	1.159237	42.23502	26.509	-1
28	20.97259	0.0460164	98.96588	1.170174	41.85377	26.51056	-1
29	20.98196	4.63E-02	98.92464	1.179237	41.47251	26.51056	-1
30	20.97571	4.71E-02	98.87963	1.188925	41.04751	26.50587	-1
31	20.9843	4.49E-02	98.90213	1.196737	40.6475	26.50431	-1
32	20.9679	4.54E-02	98.87963	1.202987	40.27874	26.49494	-1
33	20.96868	4.51E-02	98.91713	1.207987	39.94124	26.49025	-1
34	20.97493	4.48E-02	98.86089	1.212675	39.50373	26.48869	-1
35	20.97337	4.52E-02	98.88714	1.2158	39.06622	26.4965	-1
36	20.97415	0.0460164	98.95839	1.218925	38.56622	26.49337	-1
37	20.98821	4.95E-02	98.94714	1.220175	38.15996	26.484	-1
38	20.98743	0.0492977	98.95088	1.222988	37.7412	26.48556	-1
39	20.98118	4.98E-02	98.93589	1.222363	37.38495	26.484	-1
40	20.98743	4.95E-02	98.96964	1.224238	37.06619	26.484	-1
41	20.98821	4.95E-02	98.89839	1.225175	36.73494	26.48556	-1
42	20.9929	5.02E-02	98.92088	1.22705	36.44118	26.49181	-1
43	20.98196	0.0460164	98.87963	1.227675	36.10993	26.49181	-1
44	20.9718	4.66E-02	98.91713	1.228925	35.76617	26.49025	-1
45	20.98196	4.66E-02	98.87963	1.229238	38.03496	26.49494	-1
46	20.97649	4.73E-02	98.88338	1.231425	42.59753	26.49337	-1
47	20.97493	4.59E-02	98.94714	1.233613	47.75386	26.50119	-1
48	20.97415	4.71E-02	98.95839	1.238613	53.01644	26.49962	-1
49	20.97805	5.04E-02	98.94714	1.248613	58.17276	26.50119	-1
50	20.99055	5.01E-02	98.95088	1.270488	63.21034	26.50431	-1
51	20.98977	0.0496102	98.98464	1.314864	68.09792	26.49181	-1
52	20.98587	0.0496102	98.95464	1.387053	72.41673	26.49337	-1
53	21.00149	5.02E-02	98.98464	1.482679	76.6668	26.48556	-1
54	20.99368	4.98E-02	98.88714	1.590181	81.06686	26.48087	-1
55	20.98196	4.62E-02	98.91338	1.69862	84.76692	26.48087	-1
56	20.98977	4.73E-02	98.89464	1.802996	88.12947	26.48244	-1
57	20.9804	4.71E-02	98.91338	1.89956	90.84827	26.48087	-1
58	20.99603	4.63E-02	98.87213	1.986124	91.53578	26.48087	-1
59	20.98899	4.62E-02	98.96213	2.063313	91.17326	26.484	-1
60	20.9843	0.0460164	98.95839	2.132064	90.49201	26.47931	-1
61	21.00384	4.99E-02	98.95088	2.193315	89.61075	26.48244	-1
62	21.00618	4.99E-02	98.93964	2.246441	88.71072	26.47462	-1
63	21.00696	4.87E-02	98.96964	2.292066	87.86072	26.46681	-1
64	21.01399	5.01E-02	98.97713	2.333942	86.9857	26.47931	-1
65	21.01946	4.95E-02	98.87213	2.371443	86.11694	26.48556	-1
66	21.01477	4.98E-02	98.92088	2.403006	85.28568	26.47931	-1
67	21.01087	4.68E-02	98.87963	2.430819	84.41692	26.47931	-1
68	20.99759	4.80E-02	98.92088	2.454569	83.62315	26.47462	-1
69	21.01009	4.79E-02	98.89464	2.477069	82.78564	26.46837	-1
70	21.00306	4.79E-02	98.87589	2.495194	82.04189	26.46525	-1
71	21.0054	4.85E-02	98.88338	2.511132	81.26061	26.46212	-1
72	21.00462	5.15E-02	98.96588	2.52582	80.3856	26.46368	-1
73	21.01868	5.24E-02	98.9959	2.539883	79.61684	26.46368	-1
74	21.03196	5.24E-02	98.99214	2.549883	78.82308	26.46681	-1
75	21.01946	5.21E-02	98.9959	2.559883	78.07932	26.46525	-1
76	21.03196	5.30E-02	98.98464	2.568008	77.35431	26.4715	-1
77	21.02806	5.24E-02	98.88714	2.577696	76.6418	26.46681	-1
78	21.02649	0.0522665	98.89464	2.583321	75.93553	26.4715	-1
79	21.01243	0.0522665	98.92088	2.590508	75.20428	26.459	-1
80	21.01556	5.18E-02	98.89088	2.597383	74.47926	26.46681	-1
81	21.01399	5.20E-02	98.87963	2.602071	73.748	26.46368	-1
82	21.01243	5.37E-02	98.94339	2.605509	73.01049	26.46212	-1
83	21.01165	5.37E-02	98.96213	2.610821	72.32298	26.46368	-1
84	21.01009	0.0588291	98.95464	2.613634	71.67922	26.46837	-1
85	21.03118	5.80E-02	98.92838	2.617696	70.99796	26.47306	-1
86	21.02649	5.85E-02	98.94714	2.620509	70.2792	26.47931	-1
87	21.02728	5.99E-02	98.96588	2.623009	69.64794	26.4715	-1
88	21.0304	6.20E-02	98.98464	2.624884	68.94793	26.46525	-1
89	21.03899	6.38E-02	98.86464	2.629259	68.21667	26.45744	-1
90	21.03821	6.35E-02	98.92464	2.631447	67.65416	26.45587	-1
91	21.02337	6.71E-02	98.88338	2.633947	66.9479	26.46212	-1
92	21.0179	0.0719543	98.87963	2.636759	66.24789	26.46837	-1
93	21.02415	0.0755481	98.88714	2.637384	65.67913	26.46994	-1
94	21.01946	8.32E-02	98.96213	2.638634	65.04162	26.46994	-1
95	21.01165	8.93E-02	98.93589	2.640197	64.41036	26.47306	-1
96	21.03509	0.1024235	98.95839	2.641759	63.7791	26.46994	-1
97	21.03509	0.1121112	98.93589	2.642697	63.16659	26.46525	-1
98	21.03587	0.120705	98.94339	2.644259	62.58533	26.459	-1
99	21.03353	0.1316427	98.95464	2.646759	61.94157	26.45744	-1
100	21.04056	0.1427366	98.92088	2.647072	61.38531	26.44962	-1
101	21.04602	0.1541431	98.98839	2.648009	60.7728	26.45275	-1
102	21.04759	0.1625807	98.88338	2.648634	60.25405	26.44806	-1
103	21.02415	0.1738309	98.93214	2.649572	59.64779	26.44493	-1
104	21.03587	0.186331	98.87213	2.650509	59.10403	26.4465	-1
