Seconds	O2	CO2	BP	WVP	FlowRate	Temperature	Marker
0	1.25E-02	-4.32E-04	98.9959	8.11E-02	152.5617	25.96368	-1
1	-3.89E-03	-2.76E-04	99.00714	8.14E-02	152.5555	25.96055	-1
2	1.49E-02	-9.01E-04	99.00339	8.23E-02	152.5117	25.96368	-1
3	1.10E-02	9.74E-04	98.98839	8.08E-02	152.3992	25.95899	-1
4	8.62E-03	1.13E-03	98.99963	8.23E-02	152.368	25.96368	-1
5	1.25E-02	3.49E-04	98.9959	8.27E-02	152.2305	25.9668	-1
6	6.27E-03	8.18E-04	99.00339	8.20E-02	152.1929	25.96211	-1
7	-5.45E-03	6.61E-04	99.04839	8.17E-02	152.168	25.96211	-1
8	6.27E-03	1.44E-03	99.04839	8.11E-02	152.1242	25.96524	-1
9	-5.45E-03	3.49E-04	99.01839	8.17E-02	152.1117	25.96524	-1
10	-7.01E-03	-9.01E-04	98.95839	8.20E-02	152.168	25.9668	-1
11	-7.59E-04	-1.06E-03	99.02589	8.17E-02	152.218	25.9668	-1
12	-7.59E-04	-5.89E-04	98.96964	8.23E-02	152.3179	25.96368	-1
13	2.29E-05	-2.76E-04	98.95839	8.05E-02	152.3992	25.97149	-1
14	1.02E-02	-1.21E-03	98.96588	8.20E-02	152.3929	25.96211	-1
15	1.17E-02	1.44E-03	98.99214	8.20E-02	152.4055	25.96524	-1
16	1.10E-02	1.93E-04	98.9959	8.23E-02	152.418	25.96836	-1
17	5.49E-03	-1.20E-04	98.98464	8.20E-02	152.4117	25.95743	-1
18	-4.67E-03	9.74E-04	98.9959	8.27E-02	152.4055	25.96368	-1
19	6.27E-03	5.05E-04	99.03714	8.20E-02	152.4117	25.97149	-1
20	-7.01E-03	9.74E-04	99.04463	8.17E-02	152.4305	25.97618	-1
21	-8.57E-03	3.65E-05	98.99214	8.14E-02	152.4117	25.96524	-1
22	-7.01E-03	-1.20E-04	99.01839	8.17E-02	152.418	25.96524	-1
23	-5.45E-03	-2.76E-04	98.95839	8.17E-02	152.343	25.96524	-1
24	-1.54E-03	-9.01E-04	98.95839	8.17E-02	152.2992	25.96368	-1
25	-2.32E-03	-2.78E-03	98.96964	8.17E-02	152.2617	25.96993	-1
26	-1.54E-03	-1.20E-04	98.95464	8.20E-02	152.168	25.96211	-1
27	8.62E-03	1.44E-03	98.9959	8.23E-02	152.1929	25.96524	-1
28	1.02E-02	1.13E-03	98.9959	8.20E-02	152.1367	25.96368	-1
29	-8.57E-03	5.05E-04	98.99963	8.05E-02	152.1304	25.96524	-1
30	7.05E-03	1.93E-04	99.00339	8.17E-02	152.1304	25.97149	-1
31	-8.57E-03	1.93E-04	99.04089	8.17E-02	152.1742	25.96524	-1
32	4.71E-03	6.61E-04	98.97338	8.14E-02	152.218	25.96524	-1
33	-7.01E-03	-1.20E-04	99.01839	8.14E-02	152.3179	25.9668	-1
34	-8.57E-03	-1.20E-04	98.97338	8.14E-02	152.3742	25.96836	-1
35	-3.10E-03	-7.45E-04	98.95839	8.11E-02	152.368	25.9668	-1
36	-1.54E-03	-7.45E-04	98.95839	8.27E-02	152.4117	25.96524	-1
37	-7.59E-04	-5.89E-04	98.95839	8.17E-02	152.4117	25.96524	-1
38	-3.10E-03	-1.06E-03	98.96588	8.17E-02	152.3617	25.9668	-1
39	1.02E-02	9.74E-04	98.98464	8.20E-02	152.3242	25.96993	-1
40	1.41E-02	8.18E-04	99.05963	8.17E-02	152.3179	25.97149	-1
41	5.49E-03	5.05E-04	99.00339	8.17E-02	152.343	25.96993	-1
42	-9.35E-03	8.18E-04	99.05963	8.17E-02	152.3179	25.96368	-1
43	6.27E-03	1.13E-03	99.05214	8.11E-02	152.3367	25.96524	-1
44	-4.67E-03	3.49E-04	99.02964	8.14E-02	152.2805	25.96993	-1
45	-7.01E-03	-1.06E-03	98.96213	8.23E-02	152.2617	25.9668	-1
46	-9.35E-03	-7.45E-04	99.01463	8.11E-02	152.1867	25.9668	-1
47	1.59E-03	3.65E-05	98.97338	8.14E-02	152.1242	25.96836	-1
48	-7.59E-04	3.65E-05	98.95839	8.08E-02	152.0679	25.96524	-1
49	-7.59E-04	-1.37E-03	98.95839	8.17E-02	152.0117	25.97149	-1
50	-1.54E-03	-5.89E-04	99.00339	8.20E-02	152.0242	25.96836	-1
51	1.41E-02	3.65E-05	98.98089	8.11E-02	152.1304	25.96524	-1
52	1.10E-02	-4.32E-04	99.00714	8.27E-02	152.1805	25.96211	-1
53	-4.67E-03	3.49E-04	98.99963	8.14E-02	152.2617	25.9668	-1
54	5.49E-03	1.93E-04	99.02964	8.20E-02	152.3242	25.96993	-1
55	-5.45E-03	6.61E-04	99.03714	8.08E-02	152.3117	25.97618	-1
56	-7.01E-03	6.61E-04	98.95839	7.98E-02	152.3555	25.96993	-1
57	-8.57E-03	-1.20E-04	99.01839	8.20E-02	152.3867	25.97149	-1
58	-8.57E-03	3.49E-04	98.97338	8.11E-02	152.3617	25.97149	-1
59	1.49E-02	-1.37E-03	98.95464	8.11E-02	152.3617	25.96836	-1
60	2.29E-05	-1.84E-03	98.96213	8.08E-02	152.4367	25.96055	-1
61	1.49E-02	-1.21E-04	98.97338	8.23E-02	152.4055	25.96993	-1
62	7.83E-03	-5.91E-04	98.95839	8.14E-02	152.3742	25.96836	-1
63	1.25E-02	3.46E-04	98.99214	8.17E-02	152.2992	25.97149	-1
64	-3.89E-03	8.13E-04	99.00714	8.20E-02	152.2679	25.96836	-1
65	5.49E-03	1.13E-03	99.05214	8.20E-02	152.1742	25.96993	-1
66	-3.88E-03	6.56E-04	99.05214	8.14E-02	152.043	25.96368	-1
67	6.28E-03	3.42E-04	99.05589	8.14E-02	152.0305	25.97149	-1
68	-4.65E-03	3.41E-04	99.00714	8.08E-02	151.9805	25.96524	-1
69	-6.21E-03	-4.41E-04	98.95464	8.08E-02	152.0305	25.9668	-1
70	-6.21E-03	-1.38E-03	99.01463	8.02E-02	151.9992	25.9668	-1
71	1.61E-03	-2.86E-04	98.96588	8.11E-02	152.0804	25.96368	-1
72	-7.27E-04	1.82E-04	99.01839	8.08E-02	152.1742	25.96836	-1
73	-7.23E-04	-7.57E-04	98.98839	8.14E-02	152.2742	25.97462	-1
74	9.44E-03	3.36E-04	98.96213	8.17E-02	152.3555	25.96836	-1
75	1.26E-02	6.48E-04	99.00714	8.11E-02	152.368	25.96524	-1
76	4.76E-03	8.03E-04	98.9959	8.20E-02	152.3617	25.9668	-1
77	-9.30E-03	1.12E-03	98.9959	8.02E-02	152.4055	25.97149	-1
78	3.99E-03	3.33E-04	99.04839	8.05E-02	152.3555	25.96836	-1
79	-6.16E-03	6.45E-04	98.99963	8.05E-02	152.418	25.96993	-1
80	-6.94E-03	-2.94E-04	98.98839	8.05E-02	152.418	25.96836	-1
81	-6.16E-03	-6.07E-04	99.01088	8.11E-02	152.3804	25.96836	-1
82	1.66E-03	-6.08E-04	98.96213	8.05E-02	152.368	25.97149	-1
83	-6.77E-04	-2.96E-04	99.02213	8.11E-02	152.3242	25.95899	-1
84	-6.71E-04	-4.53E-04	98.95088	8.05E-02	152.2242	25.96211	-1
85	-1.45E-03	-4.54E-04	99.00714	8.14E-02	152.168	25.96368	-1
86	0.0110569	7.95E-04	99.00339	8.14E-02	152.1367	25.96524	-1
87	0.0102787	7.94E-04	98.9959	8.11E-02	152.0617	25.9668	-1
88	-6.12E-03	6.37E-04	98.99963	8.11E-02	152.0367	25.96368	-1
89	7.16E-03	-1.08E-03	99.00339	8.14E-02	152.0242	25.96524	-1
