"Seconds","O2","CO2","BP","WVP","FlowRate","Temperature","Marker","O2_lagcorrected","CO2_lagcorrected","WVP_lagcorrected","O2_lagdriftcorrected","CO2_lagdriftcorrected"
0,21.55306,0.0145,98.9959,0.0817,152.5617,25.96368,50,21.56713,0.0161722,0.0827,-0.0146704662857005,0.00436811282585493
1,21.56947,0.0151,99.00714,0.0827,152.5555,25.96055,-1,21.55228,0.0155,0.082,-0.0295071622331129,0.00369395322917299
2,21.55228,0.0143,99.00339,0.0817,152.5117,25.96368,-1,21.5515,0.0163,0.0817,-0.0302738690749429,0.00449199487051415
3,21.55306,0.0141,98.98839,0.082,152.3992,25.95899,-1,21.54994,0.0145,0.0811,-0.0318205868089549,0.00269003774962469
4,21.56009,0.0163,98.99963,0.082,152.368,25.96368,-1,21.56009,0.0145,0.0817,-0.0216573154329041,0.00268808186625088
5,21.55619,0.0161722,98.9959,0.0823,152.2305,25.9668,-1,21.57181,0.0154,0.082,-0.00992405494454474,0.003586127220139
6,21.55541,0.016,99.00339,0.082,152.1929,25.96211,-1,21.55541,0.0145,0.0817,-0.026310805341641,0.00268417381103532
7,21.56009,0.0152,99.04839,0.083,152.168,25.96211,-1,21.57416,0.0148,0.0823,-0.00754756662195177,0.00298222163868611
8,21.56009,0.0151,99.04839,0.0823,152.1242,25.96524,-1,21.57025,0.0146,0.0805,-0.0114443387832317,0.00278027070283766
9,21.57259,0.0146,99.01839,0.0823,152.1117,25.96524,-1,21.56791,0.0148,0.082,-0.0137711218232468,0.00297832100323623
10,21.56713,0.0146,98.95839,0.0823,152.168,25.9668,-1,21.57181,0.0141,0.082,-0.00985791573975447,0.0022763725396281
11,21.55306,0.0148,99.02589,0.0811,152.218,25.9668,-1,21.56556,0.016,0.0823,-0.0160947205305071,0.00417442531175954
12,21.56635,0.0143,98.96964,0.0839,152.3179,25.96368,-1,21.55384,0.0161722,0.082,-0.0278015361932695,0.00434467931937684
13,21.55384,0.0143,98.95839,0.083,152.3992,25.97149,-1,21.56556,0.0154,0.0827,-0.0160683627258003,0.00357053456222625
14,21.54994,0.0151,98.96588,0.0817,152.3929,25.96211,-1,21.55384,0.0159,0.082,-0.0277752001258555,0.00406859104005406
15,21.55462,0.0148,98.99214,0.082,152.4055,25.96524,-1,21.55228,0.0157,0.0817,-0.0293220483912009,0.00386664875260654
16,21.55306,0.0149,98.9959,0.0823,152.418,25.96836,-1,21.55853,0.0164847,0.0814,-0.0230589075195837,0.00464940769962997
17,21.55853,0.016,98.98464,0.0817,152.4117,25.95743,-1,21.55853,0.0154,0.0817,-0.0230457775087736,0.00356276788087062
18,21.55697,0.0161722,98.9959,0.0811,152.4055,25.96368,-1,21.55931,0.0141,0.0817,-0.0222526583565248,0.00226082929607477
19,21.55541,0.0154,99.03714,0.0814,152.4117,25.97149,-1,21.56947,0.014,0.0817,-0.0120795500605979,0.00215889194498868
20,21.57103,0.0154,99.04463,0.0823,152.4305,25.97618,-1,21.57103,0.0145,0.0817,-0.0105064526187491,0.00265695582735864
21,21.56791,0.0155,98.99214,0.0808,152.4117,25.96524,-1,21.57025,0.0148,0.082,-0.011273366028739,0.00295502094293091
22,21.55228,0.0137,99.01839,0.0823,152.418,25.96524,-1,21.56478,0.0138,0.0823,-0.0167302902883293,0.00195308729145178
23,21.56635,0.0148,98.95839,0.0827,152.343,25.96524,-1,21.55462,0.0164847,0.082,-0.0268772253952712,0.00463585487266751
24,21.55462,0.0135,98.95839,0.082,152.2992,25.96368,-1,21.56556,0.0152,0.0805,-0.0159241713473328,0.00334922368632439
25,21.56166,0.0143,98.96964,0.0817,152.2617,25.96993,-1,21.55228,0.0149,0.0817,-0.0291911281422692,0.00304729373216868
26,21.55541,0.0145,98.95464,0.0811,152.168,25.96211,-1,21.55072,0.016,0.0817,-0.030738095777842,0.00414536500994666
27,21.55541,0.0141,98.9959,0.0817,152.1929,25.96524,-1,21.55228,0.0155,0.0814,-0.0291650742518001,0.00364343751940461
28,21.55853,0.0157,98.9959,0.082,152.1367,25.96368,-1,21.55384,0.016,0.0814,-0.0275920635619151,0.0041415112602888
