Seconds	O2	CO2	BP	WVP	FlowRate	Temperature	Marker
0	-5.46E-04	2.13E-04	98.48213	0.1017205	150.7554	25.84961	-1
1	1.66E-02	5.25E-04	98.50088	0.1010954	150.7054	25.85274	-1
2	1.19E-02	2.13E-04	98.48213	0.102658	150.7554	25.84805	-1
3	1.66E-02	2.12E-04	98.49338	0.1014079	150.7429	25.8543	-1
4	8.81E-03	2.12E-04	98.54213	0.102033	150.7992	25.85118	-1
5	-5.72E-04	-4.13E-04	98.53462	0.1017205	150.8429	25.85586	-1
6	9.58E-03	-7.25E-04	98.51213	0.1017205	150.8492	25.85586	-1
7	-2.14E-03	-1.00E-04	98.50838	0.102658	150.8617	25.8543	-1
8	-2.15E-03	-4.13E-04	98.45213	0.102033	150.9054	25.85586	-1
9	4.09E-03	-8.82E-04	98.50088	0.1010954	150.9054	25.85586	-1
10	3.31E-03	-8.82E-04	98.46338	0.1014079	150.8929	25.85274	-1
11	1.74E-03	-1.98E-03	98.45213	0.1007829	150.8992	25.85274	-1
12	3.30E-03	1.15E-03	98.43338	0.1010954	150.8992	25.8543	-1
13	1.74E-02	-1.00E-04	98.45213	0.1014079	150.9492	25.85743	-1
14	1.42E-02	6.81E-04	98.48587	0.1004704	150.9492	25.85586	-1
15	1.34E-02	5.24E-04	98.49338	0.1014079	150.9492	25.8543	-1
16	-2.97E-03	5.24E-04	98.48213	0.1017205	150.9429	25.84649	-1
17	0.0103054	5.24E-04	98.54213	0.1023455	150.9554	25.84961	-1
18	-1.42E-03	-5.69E-04	98.51588	0.1014079	150.8554	25.85118	-1
19	4.82E-03	-5.69E-04	98.45963	0.1010954	150.7492	25.85274	-1
20	-2.99E-03	-5.69E-04	98.49338	0.1014079	150.7117	25.85118	-1
21	4.03E-03	-7.26E-04	98.46338	0.1010954	150.6492	25.84961	-1
22	0.0032444	-1.19E-03	98.45213	0.1014079	150.6429	25.85118	-1
23	2.46E-03	-1.01E-04	98.44838	9.98E-02	150.7617	25.85743	-1
24	8.91E-04	1.31E-03	98.45213	0.1007829	150.7867	25.85743	-1
25	9.48E-03	3.68E-04	98.54588	0.1014079	150.8554	25.85586	-1
26	1.49E-02	-2.57E-04	98.47462	0.1014079	150.8429	25.8543	-1
27	-3.03E-03	5.52E-05	98.53838	0.1007829	150.8492	25.85274	-1
28	4.78E-03	9.93E-04	98.53462	0.1010954	150.8554	25.86055	-1
29	-2.26E-03	-2.57E-04	98.53838	0.1001579	150.8492	25.85899	-1
30	6.33E-03	-1.19E-03	98.45963	9.95E-02	150.8617	25.86055	-1
31	1.64E-03	-1.19E-03	98.47462	0.1007829	150.8492	25.85743	-1
32	-3.84E-03	-5.70E-04	98.45963	0.1010954	150.8929	25.85899	-1
33	4.75E-03	-1.35E-03	98.50463	0.1017205	150.9492	25.86368	-1
34	3.96E-03	-1.04E-03	98.45588	0.1004704	150.9679	25.86055	-1
35	5.52E-03	8.36E-04	98.44463	0.1001579	150.9117	25.85899	-1
36	8.64E-03	-2.58E-04	98.48587	0.1007829	150.8367	25.86055	-1
37	-1.52E-03	-2.58E-04	98.48587	0.1001579	150.7867	25.85274	-1
38	1.41E-02	2.11E-04	98.48587	0.1001579	150.7492	25.85586	-1
39	1.10E-02	5.23E-04	98.53462	9.95E-02	150.7429	25.8668	-1
40	-7.53E-04	6.80E-04	98.51964	0.1001579	150.7054	25.85899	-1
41	1.02E-02	-4.14E-04	98.53838	0.1001579	150.6554	25.86211	-1
42	-3.11E-03	-1.51E-03	98.50838	0.1004704	150.7492	25.85899	-1
43	-1.55E-03	-7.27E-04	98.44838	0.1004704	150.7992	25.8543	-1
44	-1.56E-03	-5.71E-04	98.50463	0.1001579	150.8492	25.86211	-1
45	3.91E-03	-7.27E-04	98.45588	0.1007829	150.9429	25.86211	-1
46	2.11E-02	-8.83E-04	98.46338	0.1004704	150.9867	25.86368	-1
47	4.68E-03	5.23E-04	98.44838	0.1001579	150.9992	25.86368	-1
48	1.72E-02	5.23E-04	98.44087	9.92E-02	151.0117	25.86055	-1
49	1.64E-02	2.11E-04	98.48962	9.98E-02	151.0492	25.86368	-1
50	0.0148201	5.42E-05	98.48213	9.98E-02	150.9867	25.85586	-1
51	-1.59E-03	6.79E-04	98.48587	9.95E-02	150.9929	25.86524	-1
52	6.21E-03	2.10E-04	98.54213	9.95E-02	150.9992	25.86368	-1
53	-3.17E-03	-1.02E-04	98.53462	0.1004704	151.0179	25.85586	-1
54	1.17E-02	-8.83E-04	98.55338	9.95E-02	150.9929	25.86055	-1
55	-5.52E-03	-1.04E-03	98.50463	9.95E-02	150.9617	25.86211	-1
56	-4.75E-03	-4.15E-04	98.45213	0.1004704	150.8554	25.86211	-1
57	5.41E-03	-8.84E-04	98.50088	0.1001579	150.7242	25.87149	-1
58	3.84E-03	-2.60E-03	98.45588	0.1001579	150.6992	25.86055	-1
59	2.27E-03	8.35E-04	98.45588	9.95E-02	150.6492	25.86211	-1
60	0.0155468	2.10E-04	98.49338	9.92E-02	150.6429	25.86211	-1
61	1.48E-02	2.10E-04	98.48587	9.95E-02	150.6429	25.85274	-1
62	1.63E-02	5.22E-04	98.48587	9.92E-02	150.7242	25.8543	-1
63	1.01E-02	3.66E-04	98.48213	0.0985954	150.7429	25.86211	-1
64	-4.79E-03	5.22E-04	98.53462	9.92E-02	150.8054	25.86524	-1
65	9.27E-03	-1.67E-03	98.53838	0.1001579	150.8554	25.85899	-1
66	-8.87E-04	-1.35E-03	98.50838	0.1001579	150.9117	25.86524	-1
67	-3.24E-03	-7.28E-04	98.47089	9.92E-02	150.9117	25.86524	-1
68	5.35E-03	-8.84E-04	98.50838	9.98E-02	150.8992	25.86836	-1
69	3.00E-03	-1.04E-03	98.45963	9.89E-02	150.9492	25.86368	-1
70	3.78E-03	1.15E-03	98.45963	0.0985954	150.8992	25.86368	-1
71	2.99E-03	5.22E-04	98.44463	9.92E-02	150.9054	25.86055	-1
72	1.31E-02	-1.03E-04	98.49338	9.95E-02	150.9492	25.8668	-1
73	1.08E-02	5.33E-05	98.48587	0.1001579	150.9429	25.86211	-1
74	1.00E-02	5.32E-05	98.48587	9.95E-02	150.9554	25.86368	-1
75	-5.62E-03	5.22E-04	98.48587	0.0979704	150.9429	25.86524	-1
76	9.22E-03	-5.72E-04	98.47838	9.77E-02	150.8554	25.86211	-1
77	-2.51E-03	-7.28E-04	98.53838	0.0979704	150.7492	25.86368	-1
