Seconds	O2	CO2	BP	WVP	FlowRate	Temp	Marker
0	-1.18E-03	2.57E-03	98.18588	0.1207832	146.2116	25.36211	-1
1	9.76E-03	2.72E-03	98.19713	0.1204707	146.1804	25.36211	-1
2	6.63E-03	-2.12E-03	98.21963	0.1185957	146.2179	25.35586	-1
3	3.51E-03	-2.43E-03	98.21963	0.1182832	145.9116	25.35742	-1
4	8.20E-03	-1.81E-03	98.21212	0.1198457	145.7679	25.36679	-1
5	3.80E-04	1.47E-03	98.18962	0.1182832	145.8428	25.36523	-1
6	-8.21E-03	-5.58E-04	98.21212	0.1198457	145.8304	25.37148	-1
7	-4.02E-04	-2.90E-03	98.18588	0.1167207	145.6241	25.36679	-1
8	3.51E-03	-2.43E-03	98.18588	0.1176582	145.6304	25.35898	-1
9	-1.37E-02	2.25E-03	98.16337	0.1182832	145.7741	25.36054	-1
10	2.72E-03	3.79E-04	98.19713	0.1182832	145.9366	25.36367	-1
11	5.85E-03	-2.90E-03	98.24588	0.1210957	145.7929	25.36679	-1
12	3.51E-03	-1.65E-03	98.18213	0.1182832	145.9304	25.35898	-1
13	8.97E-03	1.78E-03	98.23463	0.1182832	146.0179	25.36836	-1
14	6.63E-03	-9.08E-05	98.17463	0.1167207	146.0116	25.37148	-1
15	7.41E-03	-4.03E-04	98.17838	0.1182832	145.9178	25.37929	-1
16	-5.87E-03	-1.18E-03	98.21587	0.1182832	146.0491	25.37773	-1
17	-4.31E-03	8.46E-04	98.15962	0.1189082	146.0428	25.37773	-1
18	-1.52E-02	2.10E-03	98.11837	0.1182832	145.8991	25.37148	-1
19	8.97E-03	2.21E-04	98.12962	0.1176582	145.9178	25.36836	-1
20	-1.18E-03	-3.37E-03	98.18213	0.1167207	146.1991	25.36679	-1
21	3.78E-04	-2.59E-03	98.17088	0.1176582	146.1554	25.37304	-1
22	-0.0121212	6.45E-05	98.22337	0.1176582	145.9053	25.38242	-1
23	-3.53E-03	5.33E-04	98.13338	0.1170332	145.8179	25.37773	-1
24	-1.19E-03	-2.28E-03	98.20837	0.1173457	145.9178	25.37461	-1
25	1.05E-02	6.41E-05	98.17838	0.1173457	145.7366	25.37773	-1
26	7.41E-03	-2.59E-03	98.20087	0.1173457	145.5616	25.37617	-1
27	-4.06E-04	-2.44E-03	98.19337	0.1173457	145.6491	25.37929	-1
28	1.94E-03	1.94E-03	98.16712	0.1157832	145.7303	25.38867	-1
29	-9.00E-03	2.09E-03	98.13713	0.1145331	145.6366	25.38086	-1
30	-0.0105629	-2.91E-03	98.22337	0.1154707	145.6866	25.37617	-1
31	-1.97E-03	-8.74E-04	98.10338	0.1154707	145.9491	25.38867	-1
32	1.94E-03	-9.31E-05	98.15962	0.1157832	145.9991	25.37617	-1
33	-1.99E-02	1.16E-03	98.19713	0.1154707	145.8991	25.37617	-1
34	5.84E-03	-2.28E-03	98.18213	0.1167207	145.8679	25.37929	-1
35	1.05E-02	-1.50E-03	98.20462	0.1164082	146.0491	25.36523	-1
36	1.16E-03	-1.81E-03	98.17838	0.1151582	145.9991	25.37304	-1
37	-7.44E-03	-3.06E-03	98.17838	0.1160957	145.8616	25.38867	-1
38	2.72E-03	-8.75E-04	98.16712	0.1167207	145.9053	25.37617	-1
39	1.05E-02	-2.13E-03	98.18962	0.1145331	146.0741	25.38086	-1
40	4.28E-03	3.75E-04	98.20087	0.1151582	146.0491	25.39648	-1
41	-2.75E-03	6.20E-05	98.14462	0.1145331	145.8866	25.38554	-1
42	2.72E-03	3.03E-03	98.14838	0.1123456	145.9304	25.39336	-1
43	1.05E-02	1.16E-03	98.14838	0.1139081	145.9053	25.39023	-1
44	4.28E-03	-1.50E-03	98.18213	0.1132831	145.7866	25.38867	-1
45	8.19E-03	-2.91E-03	98.17088	0.1117206	145.5678	25.38242	-1
46	6.62E-03	1.62E-03	98.17838	0.1154707	145.6304	25.37461	-1
47	5.84E-03	1.78E-03	98.13338	0.1139081	145.6866	25.38086	-1
48	3.72E-04	2.09E-03	98.24213	0.1126581	145.5491	25.39023	-1
49	5.84E-03	-3.53E-03	98.19713	0.1139081	145.5804	25.38711	-1
50	6.62E-03	2.40E-03	98.17463	0.1139081	145.8241	25.39336	-1
51	1.15E-03	-1.97E-03	98.20462	0.1145331	145.9178	25.38711	-1
52	1.93E-03	-2.13E-03	98.21963	0.1132831	145.7491	25.39023	-1
53	-2.76E-03	-1.97E-03	98.20837	0.1129706	145.8741	25.38554	-1
54	6.62E-03	-2.44E-03	98.20837	0.1123456	146.0428	25.39804	-1
