Seconds	O2	CO2	BP	WVP	FlowRate	Temperature	Marker
0	9.89E-03	3.29E-03	98.49338	0.4064126	155.0242	25.70118	-1
1	1.84E-02	3.14E-03	98.47089	0.4042251	155.018	25.69805	-1
2	8.25E-03	2.82E-03	98.43713	0.4039126	154.918	25.70118	-1
3	6.66E-03	2.20E-03	98.48213	0.401725	154.8867	25.70118	-1
4	4.28E-03	2.67E-03	98.44838	0.4001625	154.8305	25.7043	-1
5	1.90E-03	1.73E-03	98.42963	0.399225	154.8242	25.70274	-1
6	1.36E-02	1.26E-03	98.44087	0.3976625	154.768	25.70274	-1
7	1.28E-02	2.04E-03	98.45213	0.3957874	154.8305	25.69961	-1
8	1.43E-02	2.04E-03	98.53838	0.3939124	154.8742	25.70118	-1
9	2.36E-02	2.04E-03	98.47089	0.3923499	154.9305	25.70118	-1
10	2.36E-02	9.51E-04	98.53462	0.3917249	154.968	25.7043	-1
11	2.28E-02	2.36E-03	98.51964	0.3907874	155.0242	25.70899	-1
12	1.57E-02	2.04E-03	98.51588	0.3892248	155.0617	25.70742	-1
13	8.66E-03	2.83E-03	98.44463	0.3873498	155.068	25.7043	-1
14	1.49E-02	1.58E-03	98.48587	0.3867248	155.0305	25.70742	-1
15	3.12E-03	2.20E-03	98.44838	0.3851623	155.0742	25.71055	-1
16	6.21E-03	1.58E-03	98.48213	0.3842248	155.0742	25.71055	-1
17	1.32E-02	1.42E-03	98.44463	0.3826622	155.0617	25.70742	-1
18	9.27E-03	1.58E-03	98.42963	0.3817247	155.068	25.70899	-1
19	2.49E-02	1.42E-03	98.43338	0.3801622	155.068	25.70899	-1
20	9.98E-03	1.11E-03	98.46338	0.3795372	155.0305	25.71055	-1
21	2.40E-02	1.27E-03	98.47089	0.3782872	154.8867	25.70742	-1
22	2.01E-02	1.27E-03	98.46338	0.3764122	154.8242	25.71211	-1
23	1.85E-02	3.61E-03	98.53088	0.3735996	154.7742	25.71367	-1
24	3.60E-03	3.14E-03	98.52338	0.3742246	154.793	25.71211	-1
25	1.22E-02	2.67E-03	98.50838	0.3732871	154.7305	25.71524	-1
26	1.19E-03	2.36E-03	98.44087	0.3723496	154.7242	25.71836	-1
27	-1.19E-03	2.05E-03	98.46713	0.3707871	154.743	25.71211	-1
28	-2.01E-03	2.20E-03	98.44838	0.368912	154.843	25.71367	-1
29	4.21E-03	3.30E-04	98.43713	0.3698495	154.9055	25.71524	-1
30	4.17E-03	1.27E-03	98.43338	0.3660995	154.9242	25.71836	-1
31	1.80E-03	3.31E-04	98.47089	0.365787	154.9242	25.71367	-1
32	5.67E-03	1.11E-03	98.46713	0.3648495	154.9867	25.71992	-1
33	1.42E-02	6.44E-04	98.45588	0.3632869	154.9742	25.71992	-1
34	1.34E-02	6.44E-04	98.46713	0.3614119	154.9805	25.71992	-1
35	-3.81E-03	2.21E-03	98.51213	0.3620369	154.993	25.71836	-1
36	7.10E-03	2.21E-03	98.51588	0.3601619	154.9742	25.71836	-1
37	-3.87E-03	1.27E-03	98.51588	0.3589119	155.0305	25.72149	-1
38	4.69E-03	1.43E-03	98.47462	0.3589119	155.0242	25.72305	-1
39	-2.38E-03	2.36E-03	98.41838	0.3576618	154.9742	25.71524	-1
40	-7.10E-03	4.89E-04	98.48587	0.3560993	154.8805	25.7168	-1
41	1.46E-03	9.58E-04	98.42587	0.3551618	154.8305	25.7168	-1
42	-4.82E-03	6.46E-04	98.41838	0.3535993	154.7742	25.72305	-1
43	-3.29E-03	8.02E-04	98.42963	0.3495367	154.7367	25.71836	-1
44	5.77E-04	3.34E-04	98.46338	0.3520368	154.693	25.72305	-1
45	1.33E-03	2.14E-05	98.45588	0.3504742	154.693	25.72149	-1
46	9.10E-03	2.16E-05	98.46338	0.3489117	154.6367	25.7168	-1
47	1.06E-02	1.58E-03	98.51964	0.3482867	154.6867	25.72305	-1
48	-6.59E-03	1.74E-03	98.51964	0.3479742	154.7367	25.72618	-1
49	-3.71E-04	1.43E-03	98.47838	0.3467242	154.843	25.72618	-1
50	-1.06E-02	8.04E-04	98.42587	0.3454742	154.8305	25.72305	-1
51	-8.25E-03	4.92E-04	98.48213	0.3451617	154.8742	25.72461	-1
52	-9.07E-03	-6.02E-04	98.44838	0.3435991	154.8742	25.72305	-1
53	-9.10E-03	-2.89E-04	98.43338	0.3426616	154.8867	25.72618	-1
54	-5.23E-03	4.92E-04	98.42213	0.3414116	154.8805	25.72774	-1
55	-2.14E-03	8.05E-04	98.42587	0.3414116	154.9305	25.72618	-1
56	-3.73E-03	1.80E-04	98.46338	0.3392241	154.918	25.73086	-1
57	7.95E-03	9.62E-04	98.45588	0.3382865	154.9305	25.72618	-1
58	3.23E-03	1.81E-04	98.44838	0.3376616	154.9367	25.7293	-1
59	-6.96E-03	1.43E-03	98.50838	0.3364115	154.9367	25.73399	-1
60	2.38E-03	1.27E-03	98.51213	0.3357865	154.8305	25.73399	-1
61	-1.01E-02	1.12E-03	98.49338	0.335474	154.7742	25.73242	-1
62	3.10E-03	8.07E-04	98.48587	0.3345365	154.7305	25.73242	-1
63	-1.18E-02	4.94E-04	98.44087	0.332974	154.6367	25.73086	-1
64	-9.47E-03	3.38E-04	98.48587	0.332349	154.593	25.73711	-1
65	-9.08E-04	1.82E-04	98.43338	0.3301614	154.5555	25.73242	-1
66	-5.63E-03	3.39E-04	98.42963	0.3298489	154.5242	25.7293	-1
67	-1.76E-03	1.83E-04	98.45213	0.3295364	154.5555	25.72618	-1
68	3.68E-03	3.39E-04	98.45963	0.3282864	154.6367	25.73086	-1
69	5.99E-03	-5.98E-04	98.52338	0.3270364	154.7305	25.73086	-1
70	5.96E-03	1.12E-03	98.45588	0.3257864	154.743	25.73555	-1
71	4.54E-04	8.09E-04	98.52713	0.3260989	154.7805	25.73868	-1
72	-9.74E-03	8.09E-04	98.50838	0.3254739	154.7867	25.73868	-1
73	1.17E-03	1.12E-03	98.47462	0.3245364	154.7805	25.73399	-1
74	-6.68E-03	1.90E-03	98.44463	0.3242238	154.8555	25.73242	-1
75	-1.06E-02	-4.40E-04	98.47462	0.3229738	154.8305	25.73399	-1
76	-0.0122122	-2.84E-04	98.43713	0.3223488	154.8242	25.7418	-1
77	-6.00E-03	-9.09E-04	98.43338	0.3210988	154.818	25.74024	-1
78	9.59E-03	-9.08E-04	98.42963	0.3204738	154.8305	25.73711	-1
79	-6.84E-03	-2.83E-04	98.47462	0.3189113	154.7742	25.73555	-1
80	9.53E-03	2.96E-05	98.46713	0.3189113	154.7367	25.73868	-1
81	4.81E-03	-1.26E-04	98.46338	0.3176613	154.6742	25.73555	-1
82	6.34E-03	6.55E-04	98.46338	0.3167237	154.593	25.74336	-1
83	-1.01E-02	8.12E-04	98.51213	0.3157862	154.5367	25.73399	-1
84	-7.61E-04	1.12E-03	98.51588	0.3164112	154.543	25.73555	-1
85	-1.17E-02	1.12E-03	98.43713	0.3151612	154.493	25.73868	-1
86	-0.0133277	5.00E-04	98.48587	0.3148487	154.4805	25.73711	-1
87	-8.67E-03	9.69E-04	98.44087	0.3132862	154.4992	25.73399	-1
88	-1.10E-02	-1.25E-04	98.46713	0.3123487	154.593	25.73868	-1
89	-5.61E-03	3.18E-05	98.43713	0.3120362	154.6305	25.7418	-1
90	-7.21E-03	3.44E-04	98.43338	0.3101611	154.6805	25.73711	-1
91	-8.80E-03	3.22E-05	98.46713	0.3095361	154.693	25.7418	-1
92	6.01E-03	5.01E-04	98.44838	0.3092236	154.6805	25.74492	-1
93	5.19E-03	9.70E-04	98.46338	0.3085986	154.6992	25.7418	-1
94	5.16E-03	1.91E-03	98.50463	0.3082861	154.6805	25.74336	-1
95	-5.81E-03	1.44E-03	98.50463	0.3073486	154.693	25.74336	-1
96	-0.01131	-2.79E-04	98.51964	0.3060986	154.693	25.74961	-1
97	-1.97E-03	1.91E-03	98.47462	0.3051611	154.7367	25.74024	-1
98	-0.0121579	8.15E-04	98.42213	0.304536	154.7367	25.74492	-1
99	-1.53E-02	-1.22E-04	98.48213	0.3042235	154.7367	25.74492	-1
100	-1.07E-02	-1.06E-03	98.42963	0.3042235	154.6805	25.74961	-1
101	-6.01E-03	-2.78E-04	98.41838	0.3017235	154.5992	25.74336	-1
102	-9.17E-03	-5.90E-04	98.41838	0.302036	154.5492	25.74024	-1
103	-4.51E-03	-1.21E-04	98.46338	0.3010985	154.493	25.7418	-1
104	-5.32E-03	-2.77E-04	98.47089	0.300161	154.4367	25.74649	-1
105	6.36E-03	-1.21E-04	98.46713	0.299536	154.4492	25.74492	-1
106	4.77E-03	1.44E-03	98.45963	0.299536	154.3805	25.74805	-1
107	-1.87E-02	0.001286	98.50838	0.2992235	154.443	25.74961	-1
108	-6.24E-03	-2.76E-04	98.51964	0.2992235	154.5055	25.74805	-1
109	-1.56E-02	3.49E-04	98.44087	0.2973484	154.593	25.74961	-1
110	-1.33E-02	1.60E-03	98.48587	0.2970359	154.6492	25.74961	-1
111	-1.41E-02	6.62E-04	98.43713	0.2979735	154.643	25.75274	-1
112	-1.42E-02	-4.32E-04	98.42587	0.2970359	154.6867	25.74961	-1
