Seconds	O2	CO2	BP	WVP	FlowRate	Temp	Marker
0	4.10E-04	-5.02E-04	98.10338	0.1285959	153.6367	25.55586	-1
1	-6.62E-03	2.78E-03	98.06962	0.1285959	153.618	25.55117	-1
2	4.06E-04	-1.44E-03	98.11087	0.1276584	153.4555	25.55273	-1
3	9.00E-03	-2.69E-03	98.09212	0.1260958	153.5117	25.55742	-1
4	-2.72E-03	-1.75E-03	98.05087	0.1260958	153.6867	25.55273	-1
5	7.43E-03	4.35E-04	98.11837	0.1257833	153.5742	25.54961	-1
6	-5.07E-03	-4.25E-03	98.05836	0.1264083	153.468	25.54024	-1
7	-3.83E-04	2.00E-03	98.06212	0.1273458	153.6367	25.55273	-1
8	-1.37E-02	2.79E-04	98.10338	0.1260958	153.643	25.54648	-1
9	6.65E-03	-3.47E-03	98.04338	0.1264083	153.493	25.54492	-1
10	-1.95E-03	5.92E-04	98.11837	0.1248458	153.468	25.54805	-1
11	6.65E-03	-2.22E-03	98.08087	0.1257833	153.4555	25.54492	-1
12	4.30E-03	-6.58E-04	98.08463	0.1251583	153.2805	25.5543	-1
13	-6.64E-03	-1.44E-03	98.10338	0.1257833	153.093	25.55742	-1
14	-3.52E-03	5.92E-04	98.15587	0.1232833	153.1867	25.54805	-1
15	-8.99E-03	2.15E-03	98.09962	0.1226583	153.2617	25.55586	-1
16	1.95E-03	4.35E-04	98.03963	0.1254708	153.0617	25.55586	-1
17	-4.30E-03	-1.90E-04	98.14087	0.1232833	152.7805	25.54805	-1
18	-1.96E-03	1.53E-03	98.07337	0.1264083	153.0805	25.54805	-1
19	-1.18E-03	-2.53E-03	98.15962	0.1235958	153.2617	25.5543	-1
20	-1.96E-03	1.53E-03	98.12588	0.1257833	153.2992	25.54961	-1
21	-7.44E-03	-1.90E-04	98.11462	0.1267208	153.393	25.5543	-1
22	5.84E-03	5.91E-04	98.08087	0.1239083	153.5555	25.55117	-1
23	6.62E-03	1.37E-03	98.13338	0.1254708	153.5555	25.5543	-1
24	4.28E-03	-8.15E-04	98.12588	0.1239083	153.4055	25.56211	-1
25	5.06E-03	-1.91E-03	98.07337	0.1223458	153.5305	25.56367	-1
26	-1.21E-02	-4.10E-03	98.08838	0.1239083	153.6992	25.55898	-1
27	1.15E-03	-3.46E-04	98.07337	0.1226583	153.5367	25.5543	-1
28	-1.92E-02	2.47E-03	98.13338	0.1229708	153.443	25.55117	-1
29	5.83E-03	2.00E-03	98.06212	0.1226583	153.5805	25.56523	-1
30	-4.33E-03	1.68E-03	98.11462	0.1217208	153.6492	25.55273	-1
31	1.05E-02	-6.59E-04	98.12212	0.1220333	153.3055	25.56055	-1
32	5.83E-03	-1.90E-04	98.07713	0.1220333	153.193	25.56055	-1
33	5.04E-03	-3.39E-05	98.09962	0.1226583	153.1555	25.55742	-1
34	-2.77E-03	-2.22E-03	98.14462	0.1229708	153.093	25.56211	-1
35	-6.68E-03	-1.75E-03	98.08087	0.1223458	152.9492	25.55586	-1
36	2.70E-03	-3.39E-05	98.09212	0.1214083	153.0805	25.54961	-1
37	-1.99E-03	1.22E-04	98.05836	0.1217208	153.118	25.56836	-1
38	7.38E-03	-3.46E-04	98.04712	0.1220333	153.118	25.57305	-1
39	-8.25E-03	2.47E-03	98.08838	0.1210957	153.1805	25.55898	-1
40	1.13E-02	-1.90E-04	98.03587	0.1214083	153.3992	25.56211	-1
41	2.69E-03	2.93E-03	98.11087	0.1217208	153.4617	25.55742	-1
42	1.12E-03	-1.75E-03	98.11087	0.1214083	153.418	25.56055	-1
43	3.40E-04	1.22E-04	98.14087	0.1204707	153.343	25.54805	-1
44	-2.00E-03	-2.69E-03	98.10338	0.1217208	153.4867	25.55117	-1
45	5.81E-03	2.78E-04	98.09962	0.1210957	153.468	25.56211	-1
46	-1.22E-02	7.47E-04	98.13338	0.1217208	153.3117	25.56836	-1
47	1.90E-03	1.84E-03	98.11462	0.1189082	153.293	25.55898	-1
48	1.89E-03	2.47E-03	98.11462	0.1198457	153.4555	25.56523	-1
49	-2.01E-03	-4.10E-03	98.04712	0.1201582	153.3742	25.57305	-1
50	1.11E-03	-4.10E-03	98.08087	0.1192207	153.2492	25.57148	-1
51	-2.80E-03	-1.60E-03	98.02837	0.1210957	153.243	25.56523	-1
52	-5.14E-03	1.53E-03	98.11462	0.1185957	153.2492	25.56367	-1
53	3.24E-04	-2.07E-03	98.11087	0.1204707	153.093	25.56211	-1
54	-1.30E-02	1.53E-03	98.15587	0.1192207	152.9555	25.56055	-1
55	-6.71E-03	-1.13E-03	98.09212	0.1210957	153.0867	25.56836	-1
56	-2.81E-03	-9.72E-04	98.12962	0.1192207	153.0242	25.58086	-1
57	2.66E-03	-9.72E-04	98.10338	0.1198457	152.8742	25.5668	-1
58	1.10E-03	-1.91E-04	98.06962	0.1207832	152.9617	25.57148	-1
59	5.78E-03	3.09E-03	98.11837	0.1182832	153.293	25.57461	-1
60	-9.84E-03	-1.60E-03	98.06212	0.1179707	153.3992	25.5668	-1
61	3.11E-04	9.03E-04	98.13338	0.1192207	153.3117	25.56992	-1
62	2.65E-03	-5.03E-04	98.10712	0.1160957	153.3742	25.57305	-1
63	-1.61E-02	2.00E-03	98.09212	0.1167207	153.4867	25.5793	-1
64	2.65E-03	2.31E-03	98.03963	0.1164082	153.4867	25.56523	-1
65	1.09E-03	2.15E-03	98.08838	0.1176582	153.318	25.5668	-1
66	4.99E-03	-3.32E-03	98.09962	0.1176582	153.3867	25.5793	-1
67	9.68E-03	2.78E-03	98.10338	0.1185957	153.5867	25.57148	-1
68	4.99E-03	3.25E-03	98.11837	0.1201582	153.5367	25.57461	-1
69	-1.26E-03	2.93E-03	98.11462	0.1164082	153.3867	25.5668	-1
70	-9.08E-03	1.84E-03	98.10712	0.1157832	153.5492	25.5668	-1
71	-8.30E-03	1.22E-03	98.08838	0.1170332	153.5367	25.56836	-1
72	1.07E-03	2.15E-03	98.14087	0.1173457	153.318	25.57461	-1
73	-3.61E-03	1.68E-03	98.13338	0.1170332	153.0805	25.57773	-1
74	-3.61E-03	-2.38E-03	98.03963	0.1160957	153.1805	25.5793	-1
75	-9.08E-03	4.34E-04	98.05463	0.1160957	153.2555	25.57773	-1
76	-5.18E-03	1.68E-03	98.14462	0.1170332	153.0805	25.57305	-1
77	5.75E-03	1.68E-03	98.11462	0.1160957	152.9867	25.57305	-1
78	-3.62E-03	-3.00E-03	98.14087	0.1170332	153.2305	25.57305	-1
79	-1.14E-02	4.34E-04	98.10712	0.1160957	153.3992	25.57461	-1
80	-7.53E-03	-1.75E-03	98.15587	0.1170332	153.3617	25.57461	-1
81	5.75E-03	2.78E-04	98.13713	0.1164082	153.3992	25.57148	-1
82	2.62E-03	9.03E-04	98.09587	0.1160957	153.568	25.57773	-1
83	-4.41E-03	-3.48E-05	98.11087	0.1148456	153.693	25.57617	-1
84	-9.88E-03	1.68E-03	98.09587	0.1157832	153.5805	25.58398	-1
85	-6.76E-03	-1.28E-03	98.06587	0.1148456	153.5242	25.58555	-1
86	2.71E-04	2.47E-03	98.04712	0.1151582	153.6867	25.58242	-1
87	-2.08E-02	2.15E-03	98.10338	0.1139081	153.743	25.57773	-1
88	4.17E-03	-5.04E-04	98.07713	0.1154707	153.5492	25.58711	-1
89	-1.15E-02	1.68E-03	98.11837	0.1145331	153.493	25.58242	-1
90	1.83E-03	1.37E-03	98.05836	0.1145331	153.6492	25.5793	-1
91	2.61E-03	1.84E-03	98.10712	0.1154707	153.5305	25.58555	-1
92	-1.07E-02	7.46E-04	98.06962	0.1151582	153.2055	25.58555	-1
93	-7.55E-03	7.46E-04	98.07337	0.1139081	153.068	25.59492	-1
94	-5.99E-03	-2.07E-03	98.03587	0.1151582	153.1867	25.59336	-1
95	-7.56E-03	-2.69E-03	98.09212	0.1139081	153.2242	25.57773	-1
96	-7.56E-03	1.37E-03	98.13713	0.1135956	153.1242	25.58086	-1
97	-1.69E-02	-2.54E-03	98.09587	0.1132831	152.993	25.57773	-1
98	-2.87E-03	-1.75E-03	98.03963	0.1135956	153.2305	25.58242	-1
99	-3.66E-03	1.06E-03	98.08463	0.1151582	153.4492	25.57617	-1
100	-1.85E-02	7.46E-04	98.14087	0.1135956	153.3742	25.58242	-1
101	-1.31E-03	-4.57E-03	98.08087	0.1145331	153.3367	25.58242	-1
102	-1.46E-02	2.15E-03	98.12212	0.1145331	153.4992	25.58711	-1
103	-2.10E-03	1.06E-03	98.06962	0.1120331	153.6055	25.58555	-1
104	-1.69E-02	4.34E-04	98.05087	0.1142206	153.5117	25.58867	-1
105	-1.77E-02	-1.91E-03	98.10712	0.1145331	153.4305	25.58398	-1
106	-6.79E-03	-3.79E-03	98.09587	0.1154707	153.643	25.5793	-1
107	-9.92E-03	-2.07E-03	98.09212	0.1123456	153.6867	25.58711	-1
108	-7.58E-03	1.53E-03	98.11837	0.1142206	153.5242	25.59023	-1
109	-2.16E-02	2.46E-03	98.09212	0.1123456	153.5305	25.58711	-1
110	-5.51E-04	5.90E-04	98.11837	0.1117206	153.668	25.5918	-1
111	-2.01E-02	-3.48E-04	98.12588	0.1132831	153.5305	25.58555	-1
112	-1.31E-02	5.90E-04	98.09962	0.1117206	153.268	25.58398	-1
113	-5.24E-03	1.68E-03	98.14087	0.1148456	153.2367	25.5918	-1
114	-8.37E-03	-2.07E-03	98.09212	0.1110956	153.2742	25.59023	-1
115	-7.59E-03	2.31E-03	98.12588	0.1123456	153.2055	25.5918	-1
116	-1.46E-02	2.77E-04	98.11462	0.1114081	153.0805	25.58867	-1
117	4.13E-03	-3.47E-03	98.03587	0.1123456	153.0867	25.59336	-1
118	-7.59E-03	2.00E-03	98.10338	0.1110956	153.3805	25.59805	-1
119	-9.16E-03	-3.55E-05	98.10338	0.1123456	153.4992	25.58555	50
120	-1.46E-02	-1.92E-04	98.07337	0.1117206	153.4555	25.43867	-1
