Seconds	O2	CO2	BP	WVP	FlowRate	Temperature	Marker
0	1.68E-03	-7.63E-03	98.47089	1.023297	151.1179	25.86211	-1
1	9.04E-04	-7.00E-03	98.55338	1.060485	151.1054	25.86368	-1
2	1.24E-04	-7.16E-03	98.47462	1.093923	151.0554	25.86368	-1
3	9.10E-04	-5.59E-03	98.47089	1.123299	151.0679	25.86524	-1
4	1.26E-02	-6.21E-03	98.49712	1.147986	151.0179	25.86993	-1
5	1.11E-02	-6.05E-03	98.50088	1.170799	150.9367	25.86211	-1
6	-4.55E-03	-6.37E-03	98.49712	1.189237	150.9679	25.85899	-1
7	7.18E-03	-7.14E-03	98.54213	1.20455	150.9179	25.86211	-1
8	-2.98E-03	-7.77E-03	98.52338	1.216112	150.9179	25.86211	-1
9	-7.66E-03	-7.76E-03	98.47838	1.226425	150.8679	25.86211	-1
10	-5.32E-03	-8.39E-03	98.49712	1.235175	150.8617	25.85743	-1
11	-5.31E-03	-8.23E-03	98.47838	1.238925	150.8617	25.8543	-1
12	1.58E-02	-7.45E-03	98.52338	1.241113	150.8304	25.85899	-1
13	-2.18E-03	-8.69E-03	98.47838	1.241425	150.7429	25.8543	-1
14	1.50E-02	-9.47E-03	98.52713	1.23955	150.6867	25.85586	-1
15	1.58E-02	-6.97E-03	98.50838	1.23705	150.6242	25.8543	-1
16	1.35E-02	-6.81E-03	98.50838	1.2308	150.5617	25.85586	-1
17	9.55E-03	-6.50E-03	98.50463	1.22455	150.5179	25.84649	-1
18	4.87E-03	-6.81E-03	98.54588	1.216112	150.5304	25.85274	-1
19	1.81E-04	-6.18E-03	98.55338	1.209237	150.4679	25.85118	-1
20	-5.93E-04	-6.96E-03	98.55713	1.199862	150.4742	25.84649	-1
21	-2.94E-03	-6.49E-03	98.52338	1.191737	150.4742	25.8543	-1
22	-0.010746	-5.86E-03	98.46713	1.182362	150.4617	25.85118	-1
23	-6.84E-03	-6.48E-03	98.52338	1.173299	150.5242	25.85118	-1
24	9.80E-04	-4.61E-03	98.47089	1.163612	150.5742	25.85274	-1
25	9.82E-04	-4.14E-03	98.47089	1.152049	150.5617	25.85586	-1
26	-5.74E-04	-3.04E-03	98.50838	1.142049	150.5804	25.84961	-1
27	-2.91E-03	-1.16E-03	98.47089	1.132049	150.5617	25.85118	-1
28	1.35E-02	-2.22E-04	98.49338	1.121423	150.5617	25.85586	-1
29	1.19E-02	8.74E-04	98.47462	1.111111	150.5742	25.85899	-1
30	-2.12E-03	1.50E-03	98.50463	1.101423	150.5742	25.85118	-1
31	6.47E-03	2.75E-03	98.55713	1.091111	150.5742	25.85118	-1
32	-2.90E-03	3.38E-03	98.55338	1.081735	150.5804	25.85586	-1
33	-5.24E-03	3.70E-03	98.47838	1.071735	150.5242	25.85586	-1
34	-5.24E-03	4.17E-03	98.52713	1.062673	150.4242	25.85743	-1
35	-5.23E-03	5.11E-03	98.47462	1.053298	150.3304	25.85586	-1
36	1.02E-03	6.83E-03	98.46713	1.04361	150.2929	25.85274	-1
37	2.40E-04	7.30E-03	98.47089	1.034547	150.2804	25.84805	-1
38	1.81E-03	7.77E-03	98.46713	1.025485	150.2742	25.85899	-1
39	1.43E-02	1.11E-02	98.47462	1.016422	150.2304	25.85586	-1
40	1.35E-02	1.14E-02	98.50088	1.006734	150.2179	25.85118	-1
41	1.12E-02	1.18E-02	98.50463	0.9979841	150.2179	25.85118	-1
42	6.51E-03	1.40E-02	98.55713	0.9876714	150.2804	25.85899	-1
43	-5.21E-03	1.26E-02	98.53838	0.9814214	150.2929	25.8543	-1
44	8.08E-03	1.40E-02	98.53838	0.9736087	150.3242	25.86055	-1
45	-6.76E-03	1.34E-02	98.50463	0.9645461	150.3804	25.85743	-1
46	-5.98E-03	1.54E-02	98.47838	0.9561085	150.3679	25.86055	-1
47	1.05E-03	1.56E-02	98.53838	0.9482959	150.3617	25.85743	-1
48	1.84E-03	1.62E-02	98.48213	0.9395458	150.4179	25.85743	-1
49	1.84E-03	1.58E-02	98.47838	0.9326707	150.4179	25.8543	-1
50	1.85E-03	1.67E-02	98.57964	0.9245455	150.4117	25.85743	-1
51	2.86E-04	1.83E-02	98.50838	0.9154829	150.4179	25.85586	-1
52	1.28E-02	0.0184253	98.56464	0.9092328	150.4179	25.85743	-1
53	5.76E-03	1.84E-02	98.49338	0.9014202	150.3804	25.85586	-1
54	-2.82E-03	1.87E-02	98.55338	0.8929825	150.2742	25.85899	-1
55	7.33E-03	2.02E-02	98.54963	0.8861074	150.2054	25.86368	-1
56	-4.38E-03	1.97E-02	98.52338	0.8786073	150.1742	25.85586	-1
57	-5.94E-03	1.81E-02	98.47838	0.8717322	150.1492	25.85274	-1
58	-5.94E-03	1.92E-02	98.51588	0.8648571	150.0867	25.85118	-1
59	-3.59E-03	1.91E-02	98.48962	0.857357	150.0742	25.85899	-1
60	-4.63E-04	1.84E-02	98.46713	0.8504819	150.0242	25.85118	-1
61	-2.02E-03	1.84E-02	98.47089	0.8436068	150.0304	25.8543	-1
62	1.10E-03	1.91E-02	98.47089	0.8364192	150.0742	25.85274	-1
63	1.13E-02	2.02E-02	98.50838	0.8292316	150.1179	25.85899	-1
64	1.13E-02	1.94E-02	98.49712	0.822669	150.1304	25.8543	-1
65	-3.57E-03	1.91E-02	98.50088	0.8161063	150.1804	25.85274	-1
66	8.93E-03	1.91E-02	98.56088	0.8095437	150.1742	25.84961	-1
67	-3.57E-03	1.91E-02	98.56088	0.8026686	150.2242	25.8543	-1
68	-5.13E-03	1.86E-02	98.55713	0.7967311	150.2304	25.85743	-1
69	-4.34E-03	1.71E-02	98.52713	0.791106	150.2242	25.85274	-1
70	-5.12E-03	1.63E-02	98.46338	0.7839184	150.2179	25.85586	-1
71	1.68E-02	1.64E-02	98.53838	0.7782933	150.2304	25.85118	-1
72	3.55E-04	1.63E-02	98.48587	0.7723557	150.2179	25.85274	-1
73	1.52E-02	1.58E-02	98.48213	0.7657931	150.2242	25.85743	-1
74	1.21E-02	1.55E-02	98.48962	0.760168	150.1304	25.85586	-1
75	1.44E-02	1.57E-02	98.50088	0.7539179	150.0804	25.85899	-1
76	1.13E-02	1.57E-02	98.50838	0.7473553	150.0242	25.85743	-1
77	5.84E-03	1.47E-02	98.51213	0.7420427	149.9929	25.85586	-1
78	-3.53E-03	1.35E-02	98.50838	0.7364177	149.9867	25.85743	-1
79	7.41E-03	1.38E-02	98.55338	0.73048	149.9367	25.8543	-1
80	-4.30E-03	1.07E-02	98.51964	0.7251675	149.9304	25.8418	-1
81	-1.21E-02	1.18E-02	98.48213	0.7182924	149.9304	25.86055	-1
82	-3.91E-04	1.15E-02	98.52713	0.7145423	149.9867	25.85586	-1
83	-3.51E-03	0.0108381	98.47089	0.7092297	149.9867	25.85274	-1
84	-5.07E-03	1.02E-02	98.47838	0.7039171	150.0242	25.85586	-1
85	-3.81E-04	9.91E-03	98.46713	0.6992295	150.0367	25.8543	-1
86	-1.16E-03	1.07E-02	98.46713	0.6942295	150.0742	25.85743	-1
87	1.06E-02	1.05E-02	98.50838	0.6864169	150.0617	25.85743	-1
88	9.00E-03	9.44E-03	98.48213	0.6836043	150.0867	25.86211	-1
89	-6.62E-03	8.66E-03	98.50838	0.6773542	150.1304	25.85899	-1
90	3.54E-03	8.20E-03	98.54963	0.6739167	150.1304	25.86524	-1
91	-7.39E-03	8.51E-03	98.56088	0.6676666	150.1242	25.86211	-1
92	-8.17E-03	6.95E-03	98.55338	0.6632915	150.0554	25.86368	-1
93	-8.17E-03	7.42E-03	98.52713	0.6582915	150.0992	25.85118	-1
94	-1.91E-03	6.18E-03	98.48962	0.6545414	150.0304	25.8668	-1
95	-1.91E-03	6.49E-03	98.53462	0.6489163	149.9429	25.84961	-1
96	1.21E-03	4.93E-03	98.46713	0.6445412	149.8742	25.85586	-1
97	-3.47E-03	4.31E-03	98.47089	0.6395411	149.8429	25.85586	-1
98	1.06E-02	5.87E-03	98.50463	0.6351661	149.8117	25.85586	-1
99	9.04E-03	5.72E-03	98.50838	0.6292285	149.7304	25.86524	-1
100	3.57E-03	5.25E-03	98.50088	0.625791	149.7429	25.85586	-1
101	2.79E-03	4.32E-03	98.50088	0.6223534	149.7429	25.86055	-1
102	-8.92E-03	4.47E-03	98.49712	0.6173533	149.7867	25.85586	-1
103	3.58E-03	4.01E-03	98.56464	0.6123533	149.7992	25.86211	-1
104	-8.92E-03	1.98E-03	98.55338	0.6070406	149.8429	25.86368	-1
105	-0.0135994	1.51E-03	98.47462	0.6017281	149.8429	25.85899	-1
106	-4.22E-03	1.36E-03	98.52338	0.594228	149.8429	25.86211	-1
107	-2.66E-03	1.99E-03	98.48213	0.5879779	149.8367	25.86055	-1
108	-3.43E-03	1.21E-03	98.47462	0.5811028	149.7867	25.86211	-1
109	-3.43E-03	1.36E-03	98.46713	0.5748526	149.8492	25.86524	-1
110	-3.43E-03	2.46E-03	98.47089	0.567665	149.8367	25.86055	-1
111	9.08E-03	2.15E-03	98.56464	0.56204	149.8367	25.85743	-1
112	4.39E-03	1.06E-03	98.50088	0.5579774	149.8367	25.85899	-1
113	-5.76E-03	5.92E-04	98.55713	0.5767277	149.8367	25.86524	-1
114	3.62E-03	7.51E-04	98.54963	0.6482913	149.7929	25.8668	-1
115	-5.75E-03	4.41E-04	98.56464	0.759543	149.7554	25.86211	-1
116	-9.66E-03	-3.38E-04	98.53462	0.8848574	149.7492	25.86055	-1
117	-0.0104351	2.89E-04	98.52713	1.002672	149.6867	25.86836	-1
118	-1.84E-03	6.04E-04	98.48962	1.110486	149.6867	25.86211	-1
119	-4.18E-03	1.70E-03	98.51964	1.201425	149.6929	25.85899	50
120	-3.39E-03	2.64E-03	98.45963	1.279551	149.6929	25.55273	-1
121	-2.61E-03	5.30E-03	98.48213	1.346427	149.6679	25.58242	-1
122	9.11E-03	8.58E-03	98.47838	1.403615	146.7429	25.64805	-1
123	9.12E-03	1.36E-02	98.50088	1.457991	143.3116	25.70274	-1
124	-8.07E-03	1.80E-02	98.50463	1.508929	140.5115	25.74024	-1
125	3.65E-03	2.53E-02	98.50463	1.568305	138.4677	25.75117	-1
126	-5.72E-03	0.0346844	98.50463	1.641119	137.074	25.73555	-1
127	4.44E-03	4.44E-02	98.54213	1.726745	136.1615	25.71836	-1
128	-9.62E-03	5.58E-02	98.52713	1.818309	135.549	25.69492	-1
129	-8.05E-03	7.03E-02	98.47089	1.909873	135.1802	25.66836	-1
130	1.38E-02	8.52E-02	98.51588	1.996437	134.8739	25.6418	-1
131	-1.80E-03	0.1006341	98.46713	2.076126	134.7364	25.61992	-1
132	1.07E-02	0.1189178	98.46713	2.146439	134.6364	25.59805	-1
133	-2.57E-03	0.1353265	98.46338	2.210503	134.5364	25.5793	-1
134	9.15E-03	0.1554853	98.51588	2.265816	134.4864	25.55742	-1
135	7.59E-03	0.1690815	98.50838	2.314879	134.3802	25.53086	-1
136	3.69E-03	0.187209	98.50088	2.357692	134.3177	25.5043	-1
137	-4.90E-03	0.1992427	98.49712	2.395818	134.3364	25.49492	-1
138	4.48E-03	0.2142452	98.56088	2.429569	134.2989	25.48867	-1
139	-5.68E-03	0.2264351	98.54588	2.458006	134.2739	25.48398	-1
140	-1.27E-02	0.2359687	98.46713	2.482694	134.2364	25.49179	-1
141	-2.54E-03	0.2469086	98.51213	2.50707	134.2489	25.49336	-1
142	-3.32E-03	0.2551922	98.47462	2.52707	134.2802	25.48711	-1
143	-5.66E-03	0.2639446	98.51588	2.544883	134.3864	25.49648	-1
144	-7.22E-03	0.2708219	98.45963	2.559883	134.3739	25.49179	-1
145	-8.00E-03	0.2776993	98.50463	2.574883	134.4302	25.47305	-1
146	2.16E-03	0.2825453	98.49338	2.587071	134.4239	25.46055	-1
147	2.16E-03	0.2853601	98.50088	2.599884	134.4989	25.45586	-1
148	-1.58E-02	0.2883311	98.50088	2.610196	134.4739	25.45429	-1
149	-8.77E-03	0.2913021	98.54213	2.619571	134.4864	25.45273	-1
150	-2.05E-02	0.2913043	98.55713	2.628947	134.5552	25.44648	-1
151	-1.50E-02	0.2919316	98.55713	2.638009	134.5177	25.44648	-1
152	-3.22E-02	0.2919338	98.53462	2.645822	134.5302	25.44336	-1
153	-0.0368824	0.2924048	98.47462	2.652697	134.5364	25.44023	-1
154	-3.53E-02	0.291782	98.52713	2.658322	134.4739	25.42929	-1
155	-4.16E-02	0.2908467	98.48587	2.663947	134.4802	25.43554	-1
156	-4.86E-02	0.2899115	98.46713	2.670197	134.4364	25.43554	-1
157	-4.55E-02	0.2883512	98.49712	2.676135	134.4302	25.4418	-1
158	-4.86E-02	0.2872596	98.50088	2.680822	134.4427	25.44805	-1
159	-6.11E-02	0.2855431	98.49338	2.684572	134.4302	25.46211	-1
160	-7.28E-02	0.2830453	98.49712	2.689885	134.4364	25.46836	-1
161	-9.55E-02	0.281485	98.55713	2.693635	134.4614	25.47461	-1
162	-9.54E-02	0.2794559	98.56088	2.698323	134.4864	25.47305	-1
163	-0.1134129	0.2752393	98.53088	2.702073	134.4864	25.47461	-1
164	-0.1259098	0.2732103	98.47838	2.707073	134.5239	25.47148	-1
165	-0.1313744	0.271025	98.52713	2.709573	134.5802	25.46679	-1
166	-0.1399651	0.2691522	98.48213	2.713323	134.6302	25.46523	-1
167	-0.1469936	0.2660294	98.46713	2.71676	134.5927	25.46367	-1
168	-0.1540222	0.2644691	98.47089	2.719573	134.5864	25.46211	-1
169	-0.163393	0.2619713	98.50838	2.721761	134.5802	25.46367	-1
170	-0.1633911	0.2605672	98.56088	2.725198	134.5552	25.46679	-1
171	-0.17589	0.2582257	98.51213	2.727698	134.5677	25.47305	-1
172	-0.1946373	0.2561966	98.56464	2.730198	134.5802	25.48242	-1
173	-0.1907253	0.2533863	98.54588	2.733011	134.5302	25.48555	-1
174	-0.2079105	0.249951	98.54963	2.735823	134.4864	25.48086	-1
