Seconds,O2,CO2,BP,WVP,FlowRate,Temperature,Marker
0,21.55228,1.57E-02,98.48213,0.1017205,150.7554,25.84961,-1
1,21.54838,1.55E-02,98.50088,0.103283,150.7054,25.85274,-1
2,21.54291,1.54E-02,98.48213,0.1023455,150.7554,25.84805,-1
3,21.55306,1.60E-02,98.49338,0.102033,150.7429,25.8543,-1
4,21.55072,1.54E-02,98.54213,0.1017205,150.7992,25.85118,-1
5,21.55072,0.0161722,98.53462,0.1017205,150.8429,25.85586,-1
6,21.5515,1.63E-02,98.51213,0.1023455,150.8492,25.85586,-1
7,21.56478,1.55E-02,98.50838,0.102033,150.8617,25.8543,-1
8,21.56478,1.51E-02,98.45213,0.102033,150.9054,25.85586,-1
9,21.54916,1.43E-02,98.50088,0.102033,150.9054,25.85586,-1
10,21.56009,1.41E-02,98.46338,0.1014079,150.8929,25.85274,-1
11,21.54681,1.48E-02,98.45213,0.1007829,150.8992,25.85274,-1
12,21.55931,1.52E-02,98.43338,0.1001579,150.8992,25.8543,-1
13,21.54916,1.48E-02,98.45213,0.1017205,150.9492,25.85743,-1
14,21.54525,1.68E-02,98.48587,0.1010954,150.9492,25.85586,-1
15,21.55384,1.57E-02,98.49338,0.102658,150.9492,25.8543,-1
16,21.55306,1.49E-02,98.48213,0.1014079,150.9429,25.84649,-1
17,21.55384,1.60E-02,98.54213,0.102033,150.9554,25.84961,-1
18,21.56478,1.60E-02,98.51588,0.1017205,150.8554,25.85118,-1
19,21.56166,1.59E-02,98.45963,0.1017205,150.7492,25.85274,-1
20,21.55775,1.46E-02,98.49338,0.102658,150.7117,25.85118,-1
21,21.55541,1.48E-02,98.46338,0.102033,150.6492,25.84961,-1
22,21.54681,1.49E-02,98.45213,0.1010954,150.6429,25.85118,-1
23,21.55853,1.48E-02,98.44838,0.1014079,150.7617,25.85743,-1
24,21.54525,1.51E-02,98.45213,0.1007829,150.7867,25.85743,-1
25,21.54603,1.46E-02,98.54588,0.1010954,150.8554,25.85586,-1
26,21.55931,1.66E-02,98.47462,0.1014079,150.8429,25.8543,-1
27,21.55228,1.59E-02,98.53838,0.1004704,150.8492,25.85274,-1
28,21.56713,1.70E-02,98.53462,0.1014079,150.8554,25.86055,-1
29,21.55072,1.54E-02,98.53838,0.1017205,150.8492,25.85899,-1
30,21.56478,1.59E-02,98.45963,0.1023455,150.8617,25.86055,-1
31,21.56556,1.49E-02,98.47462,0.1014079,150.8492,25.85743,-1
32,21.55931,1.49E-02,98.45963,0.1010954,150.8929,25.85899,-1
33,21.54916,1.48E-02,98.50463,0.1014079,150.9492,25.86368,-1
34,21.55853,1.48E-02,98.45588,0.1010954,150.9679,25.86055,-1
35,21.54916,1.51E-02,98.44463,0.1014079,150.9117,25.85899,-1
36,21.54838,1.60E-02,98.48587,9.98E-02,150.8367,25.86055,-1
37,21.54838,1.48E-02,98.48587,0.1007829,150.7867,25.85274,-1
38,21.55384,1.57E-02,98.48587,0.1014079,150.7492,25.85586,-1
39,21.5515,1.66E-02,98.53462,0.1014079,150.7429,25.8668,-1
40,21.5515,1.54E-02,98.51964,0.1007829,150.7054,25.85899,-1
41,21.55306,1.63E-02,98.53838,0.1010954,150.6554,25.86211,-1
42,21.56556,1.59E-02,98.50838,0.1001579,150.7492,25.85899,-1
