Seconds,O2,CO2,BP,WVP,FlowRate,Temperature,Marker
0,21.55462,0.0164847,98.53838,0.106408,150.7429,25.81993,-1
1,21.53744,1.55E-02,98.53462,0.106408,150.7429,25.8168,-1
2,21.55541,1.70E-02,98.58337,0.105158,150.7867,25.81993,-1
3,21.55697,1.68E-02,98.53838,0.1067205,150.9054,25.81993,-1
4,21.539,0.0161722,98.56088,0.1067205,150.9492,25.8168,-1
5,21.54916,1.51E-02,98.51213,0.1067205,150.9992,25.81367,-1
6,21.53666,1.46E-02,98.50838,0.107033,151.0429,25.81055,-1
7,21.54916,1.52E-02,98.50463,0.1048455,151.0429,25.81993,-1
8,21.53744,1.55E-02,98.50463,0.1054705,151.0929,25.81836,-1
9,21.53588,1.55E-02,98.53838,0.105783,151.1054,25.82149,-1
10,21.54213,0.0164847,98.54213,0.1060955,151.1429,25.81211,-1
11,21.54369,1.66E-02,98.51964,0.1054705,151.1492,25.81211,-1
12,21.54369,0.0161722,98.58337,0.105158,151.1429,25.82461,-1
13,21.54369,1.71E-02,98.58337,0.106408,151.1429,25.81836,-1
14,21.54369,1.68E-02,98.58713,0.106408,151.0804,25.81836,-1
15,21.55306,1.52E-02,98.56464,0.105783,151.0367,25.8168,-1
16,21.54838,1.52E-02,98.51213,0.1054705,150.9429,25.81993,-1
17,21.53666,1.51E-02,98.56088,0.105783,150.9054,25.82461,-1
18,21.54759,1.54E-02,98.51588,0.1054705,150.8429,25.81993,-1
19,21.53978,1.57E-02,98.48962,0.1054705,150.8554,25.81836,-1
20,21.53588,1.55E-02,98.50838,0.103908,150.7992,25.82305,-1
21,21.53744,1.54E-02,98.54213,0.104533,150.7992,25.81993,-1
22,21.54291,1.68E-02,98.54588,0.1042205,150.8429,25.81524,-1
23,21.54447,0.0164847,98.53838,0.1048455,150.9054,25.82149,-1
24,21.54447,0.0161722,98.54213,0.104533,150.9867,25.82149,-1
25,21.54447,1.57E-02,98.58337,0.105158,151.1054,25.82305,-1
26,21.55697,0.0161722,98.57588,0.104533,151.0992,25.82461,-1
27,21.55462,1.70E-02,98.53088,0.103283,151.1554,25.81836,-1
28,21.54213,1.60E-02,98.54213,0.104533,151.1054,25.82305,-1
29,21.54916,1.54E-02,98.51588,0.104533,151.1367,25.82618,-1
30,21.53978,1.59E-02,98.48962,0.1042205,151.1429,25.81836,-1
31,21.54759,1.54E-02,98.50088,0.104533,151.1429,25.82149,-1
32,21.539,1.54E-02,98.53462,0.103908,151.1367,25.81524,-1
33,21.53744,1.57E-02,98.60963,0.103908,151.1867,25.82461,-1
34,21.55931,1.68E-02,98.54213,0.104533,151.1429,25.82461,-1
35,21.54369,1.70E-02,98.58713,0.1042205,151.0804,25.82461,-1
36,21.55853,0.0164847,98.58337,0.103908,150.9992,25.82149,-1
37,21.55384,1.63E-02,98.58337,0.1042205,150.9867,25.82305,-1
38,21.55462,1.70E-02,98.52713,0.104533,150.9429,25.82618,-1
39,21.54916,1.54E-02,98.53838,0.1042205,150.8617,25.82774,-1
40,21.54603,1.46E-02,98.52338,0.105783,150.8992,25.82618,-1
41,21.53822,1.54E-02,98.54963,0.1042205,150.8492,25.82149,-1
42,21.54681,1.55E-02,98.52338,0.103908,150.8554,25.82149,-1
43,21.53978,1.55E-02,98.50463,0.103283,150.9367,25.81993,-1
44,21.53822,1.54E-02,98.54588,0.103908,150.9929,25.82461,-1
45,21.53666,1.71E-02,98.53462,0.1035955,151.0554,25.82618,-1
46,21.54369,1.71E-02,98.53838,0.103283,151.0804,25.81524,-1
47,21.54369,1.57E-02,98.60213,0.1035955,151.1429,25.82149,-1
48,21.54681,0.0161722,98.54213,0.1035955,151.1554,25.82305,-1
49,21.54369,0.0161722,98.59838,0.1042205,151.2054,25.82461,-1
50,21.55853,1.60E-02,98.54588,0.103908,151.1929,25.82774,-1
51,21.55306,1.48E-02,98.50463,0.1042205,151.1929,25.82461,-1
