Seconds,O2,CO2,BP,WVP,FlowRate,Temperature,Marker
0,21.55228,2.07E-02,98.49338,0.4232879,155.0242,25.70118,-1
1,21.53822,0.0227348,98.47089,0.4226629,155.018,25.69805,-1
2,21.55697,2.18E-02,98.43713,0.4217253,154.918,25.70118,-1
3,21.55384,2.10E-02,98.48213,0.4201628,154.8867,25.70118,-1
4,21.5515,2.15E-02,98.44838,0.4189128,154.8305,25.7043,-1
5,21.53978,2.09E-02,98.42963,0.4182878,154.8242,25.70274,-1
6,21.5515,2.04E-02,98.44087,0.4151627,154.768,25.70274,-1
7,21.54056,1.99E-02,98.45213,0.4129752,154.8305,25.69961,-1
8,21.53666,2.09E-02,98.53838,0.4107877,154.8742,25.70118,-1
9,21.56009,2.13E-02,98.47089,0.4101627,154.9305,25.70118,-1
10,21.54291,2.13E-02,98.53462,0.4086001,154.968,25.7043,-1
11,21.56009,2.20E-02,98.51964,0.4079751,155.0242,25.70899,-1
12,21.55619,2.18E-02,98.51588,0.4064126,155.0617,25.70742,-1
13,21.55619,2.16E-02,98.44463,0.4042251,155.068,25.7043,-1
14,21.55775,1.96E-02,98.48587,0.4039126,155.0305,25.70742,-1
15,21.5515,2.02E-02,98.44838,0.401725,155.0742,25.71055,-1
16,21.54056,2.02E-02,98.48213,0.4001625,155.0742,25.71055,-1
17,21.5515,2.04E-02,98.44463,0.399225,155.0617,25.70742,-1
18,21.54213,2.02E-02,98.42963,0.3976625,155.068,25.70899,-1
19,21.54056,1.99E-02,98.43338,0.3957874,155.068,25.70899,-1
20,21.53822,2.21E-02,98.46338,0.3939124,155.0305,25.71055,-1
21,21.54603,2.10E-02,98.47089,0.3923499,154.8867,25.70742,-1
22,21.54447,2.12E-02,98.46338,0.3917249,154.8242,25.71211,-1
23,21.54525,2.10E-02,98.53088,0.3907874,154.7742,25.71367,-1
24,21.54056,2.10E-02,98.52338,0.3892248,154.793,25.71211,-1
25,21.55853,2.09E-02,98.50838,0.3873498,154.7305,25.71524,-1
26,21.55697,1.96E-02,98.44087,0.3867248,154.7242,25.71836,-1
27,21.54291,1.88E-02,98.46713,0.3851623,154.743,25.71211,-1
28,21.5515,0.0194535,98.44838,0.3842248,154.843,25.71367,-1
29,21.54213,1.93E-02,98.43713,0.3826622,154.9055,25.71524,-1
30,21.55072,1.91E-02,98.43338,0.3817247,154.9242,25.71836,-1
31,21.54056,1.90E-02,98.47089,0.3801622,154.9242,25.71367,-1
32,21.539,2.13E-02,98.46713,0.3795372,154.9867,25.71992,-1
33,21.54369,2.10E-02,98.45588,0.3782872,154.9742,25.71992,-1
34,21.54291,0.019766,98.46713,0.3764122,154.9805,25.71992,-1
35,21.54681,2.05E-02,98.51213,0.3735996,154.993,25.71836,-1
36,21.54681,2.04E-02,98.51588,0.3742246,154.9742,25.71836,-1
37,21.55775,2.07E-02,98.51588,0.3732871,155.0305,25.72149,-1
38,21.55853,0.0194535,98.47462,0.3723496,155.0242,25.72305,-1
39,21.55306,0.0194535,98.41838,0.3707871,154.9742,25.71524,-1
40,21.53744,1.93E-02,98.48587,0.368912,154.8805,25.7168,-1
